S³owoPodstawe;Synonim1;Synonim2;Synonim3;Synonim4;Synonim5;Synonim6;Synonim7;Synonim8;Synonim9;Synonim10;Synonim11;Synonim12;Synonim13;Synonim14;Synonim15;Synonim16;Synonim17;Synonim18
akcja;fabu³a;;;;;;;;;;;;;;;;;
akcja;papier wartoœciowy;walor;;;;;;;;;;;;;;;;
akcjonariusz;udzia³owiec;wspólnik;;;;;;;;;;;;;;;;
akcyza;banderola;;;;;;;;;;;;;;;;;
akinezja;apatia;bezruch;blokada;klincz;marazm;martwy punkt;skostnienie;stabilizacja;stagnacja;statycznoœæ;zakleszczenie;zamarcie;zastój;zastygniêcie;;;;
aklamacja;jednomyœlne uznanie;;;;;;;;;;;;;;;;;
aklamowaæ;witaæ okrzykiem;;;;;;;;;;;;;;;;;
aklamowany;bezapelacyjny;bezsprzeczny;jednog³oœny;jednomyœlny;;;;;;;;;;;;;;
akomodacja;przystosowanie siê;;;;;;;;;;;;;;;;;
akomodowaæ;przystosowywaæ;;;;;;;;;;;;;;;;;
akompaniowaæ;dotrzymywaæ towarzystwa;towarzyszyæ;;;;;;;;;;;;;;;;
akompaniowaæ;wtórowaæ;;;;;;;;;;;;;;;;;
akonto;awansem;na poczet;w formie zaliczki;z góry;;;;;;;;;;;;;;
akonto;forszus;przedp³ata;wadium;zadatek;zaliczka;;;;;;;;;;;;;
akordowy robotnik;wyrobnik;;;;;;;;;;;;;;;;;
akredytacja;akredytowanie;uwierzytelnienie;;;;;;;;;;;;;;;;
akredytowaæ;potwierdzaæ;uwierzytelniaæ;;;;;;;;;;;;;;;;
akrofobia;lêk wysokoœci;;;;;;;;;;;;;;;;;
akromegalia;gigantyzm;;;;;;;;;;;;;;;;;
akronim;skrótowiec;;;;;;;;;;;;;;;;;
aksamitny;delikatny;jedwabny;mi³y w dotyku;puszysty;;;;;;;;;;;;;;
aksjomat;pewnik;postulat;;;;;;;;;;;;;;;;
akson;neuryt;;;;;;;;;;;;;;;;;
akta;kartoteka;rejestr;;;;;;;;;;;;;;;;
akt;czêœæ;punkt programu;;;;;;;;;;;;;;;;
akt;czynnoœæ;dzia³anie;;;;;;;;;;;;;;;;
akt;czyn;postêpek;uczynek;;;;;;;;;;;;;;;
akt;metryka;œwiadectwo;;;;;;;;;;;;;;;;
akt mi³osny;kochanie siê;kopulacja;seks;stosunek;uprawianie mi³oœci;wspó³¿ycie;;;;;;;;;;;;
aktor;artysta dramatyczny;cz³owiek teatru;histrion;;;;;;;;;;;;;;;
aktor komiczny;komik;;;;;;;;;;;;;;;;;
aktor tragiczny;tragik;;;;;;;;;;;;;;;;;
akt prawny;norma prawna;prawo;przepis;regulacja;rozporz¹dzenie;unormowanie;uregulowanie;ustawa;zarz¹dzenie;;;;;;;;;
aktualizacja;modernizacja;odœwie¿enie;uaktualnienie;unowoczeœnienie;;;;;;;;;;;;;;
aktualizowaæ;uaktualniaæ;;;;;;;;;;;;;;;;;
aktualnie;chwilowo;obecnie;teraz;w tej chwili;w tym momencie;;;;;;;;;;;;;
aktualnie;ju¿;natychmiast;nu¿e;obecnie;w tej chwili;w tym momencie;;;;;;;;;;;;
aktualny;bêd¹cy na czasie;bie¿¹cy;obecny;;;;;;;;;;;;;;;
aktualny;bie¿¹cy;dotychczasowy;istniej¹cy;obecny;;;;;;;;;;;;;;
aktualny;bie¿¹cy;niniejszy;obecny;teraŸniejszy;;;;;;;;;;;;;;
aktualny;bie¿¹cy;obowi¹zuj¹cy;wa¿ny;;;;;;;;;;;;;;;
aktuarialny;ubezpieczeniowy;;;;;;;;;;;;;;;;;
aktyw;aktywiœci;dzia³acze;;;;;;;;;;;;;;;;
aktywator;promotor;;;;;;;;;;;;;;;;;
aktywista;dzia³acz;;;;;;;;;;;;;;;;;
aktywizacja;uaktywnienie;;;;;;;;;;;;;;;;;
aktywizowaæ;aktywowaæ;rozbudzaæ;wzniecaæ;;;;;;;;;;;;;;;
aktywizowaæ;animowaæ;budziæ;cuciæ;o¿ywiaæ;pobudzaæ;regenerowaæ;stymulowaæ;;;;;;;;;;;
aktywnoœæ;dzia³alnoœæ;dzia³anie;funkcjonowanie;;;;;;;;;;;;;;;
aktywny;czynny;dynamiczny;dzia³aj¹cy;energiczny;obrotny;o¿ywiony;pe³en energii;prê¿ny;przebojowy;rezolutny;rzutki;skuteczny;udzielaj¹cy siê;w³¹czony;¿ywy;;;
aktywowaæ;dodawaæ gazu;nabieraæ prêdkoœci;nabieraæ szybkoœci;nabieraæ tempa;o¿ywiaæ;przyspieszaæ;rozpêdzaæ siê;;;;;;;;;;;
aktywowaæ;generowaæ;uzyskiwaæ;wytwarzaæ;wywo³ywaæ;wyzwalaæ;;;;;;;;;;;;;
aktywowaæ;pobudziæ;;;;;;;;;;;;;;;;;
akumulator;ogniwo;;;;;;;;;;;;;;;;;
